STRENGTH  PARA  CONS  RATE  CT  RT  ART  FAVOURABLE
2  0.8  0.00  5.914270877838135e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  6.759166717529297e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  7.88569450378418e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  8.046627044677734e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  8.448958396911621e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.00010138750076293945  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.00011265277862548828  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.0001922607421875  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.00025634765625  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.00028839111328125  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.00032958984375  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.000336456298828125  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.0003604888916015625  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.000432586669921875  0.005  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.0005046844482421875  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.0005767822265625  0.010  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.0006488800048828125  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.0006591796875  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.000720977783203125  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.0007570266723632812  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.00076904296875  0.020  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.000823974609375  0.020  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.00086517333984375  0.014  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.0009613037109375  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.001009368896484375  0.010  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.00102996826171875  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.0010814666748046875  0.003  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.001153564453125  0.020  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.001297760009765625  0.018  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.00144195556640625  0.014  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.0015140533447265624  0.017  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.0017303466796875  0.040  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.00201873779296875  0.040  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.0020599365234375  0.040  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.002162933349609375  0.040  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.00259552001953125  0.040  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.0028839111328125  0.040  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.50  0.0023333333333333335  0.000  0.020  0.060  ['CT', 'RT', 'ART']
2  0.8  0.50  0.003111111111111111  0.020  0.040  0.020  ['CT', 'RT', 'ART']
2  0.8  0.50  0.0035  0.027  0.020  0.067  ['CT', 'RT', 'ART']
2  0.8  0.50  0.004  0.060  0.020  0.050  ['CT', 'RT', 'ART']
2  0.8  0.50  0.004083333333333333  0.020  0.060  0.040  ['CT', 'RT', 'ART']
2  0.8  0.50  0.004375  0.040  0.000  0.080  ['CT', 'RT', 'ART']
2  0.8  0.50  0.00525  0.070  0.030  0.065  ['CT', 'RT', 'ART']
2  0.8  0.50  0.006125  0.080  0.040  0.080  ['CT', 'RT', 'ART']
2  0.8  0.50  0.007  0.070  0.040  0.070  ['CT', 'RT', 'ART']
2  0.8  0.50  0.007875  0.080  0.060  0.140  ['CT', 'RT', 'ART']
2  0.8  0.50  0.008  0.100  0.060  0.100  ['CT', 'RT', 'ART']
2  0.8  0.50  0.00875  0.125  0.070  0.080  ['CT', 'RT', 'ART']
2  0.8  0.50  0.0091875  0.100  0.080  0.180  ['CT', 'RT', 'ART']
2  0.8  0.50  0.009333333333333334  0.100  0.120  0.140  ['CT', 'RT', 'ART']
2  0.8  0.50  0.01  0.080  0.080  0.100  ['CT', 'RT', 'ART']
2  0.8  0.50  0.0105  0.109  0.054  0.100  ['CT', 'RT', 'ART']
2  0.8  0.50  0.011666666666666667  0.060  0.060  0.120  ['CT', 'RT', 'ART']
2  0.8  0.50  0.01225  0.107  0.117  0.150  ['CT', 'RT', 'ART']
2  0.8  0.50  0.0125  0.120  0.060  0.220  ['CT', 'ART']
2  0.8  0.50  0.013125  0.167  0.063  0.240  ['CT', 'ART']
2  0.8  0.50  0.014  0.140  0.180  0.200  ['CT', 'RT', 'ART']
2  0.8  0.50  0.01575  0.152  0.090  0.193  ['CT', 'RT', 'ART']
2  0.8  0.50  0.0175  0.184  0.150  0.260  ['CT', 'RT', 'ART']
2  0.8  0.50  0.018375  0.194  0.189  0.294  ['CT', 'RT', 'ART']
2  0.8  0.50  0.021  0.190  0.110  0.270  ['CT', 'RT', 'ART']
2  0.8  0.50  0.0245  0.280  0.240  0.320  ['CT', 'RT', 'ART']
2  0.8  0.50  0.025  0.180  0.100  0.300  ['CT', 'ART']
2  0.8  0.50  0.02625  0.260  0.120  0.340  ['CT', 'ART']
2  0.8  0.50  0.0315  0.280  0.160  0.340  ['CT', 'RT', 'ART']
2  0.8  0.50  0.035  0.320  0.300  0.380  ['CT', 'RT', 'ART']
2  0.8  0.75  0.014814814814814815  0.360  0.040  0.180  ['CT']
2  0.8  0.75  0.019753086419753086  0.240  0.080  0.180  ['CT', 'RT', 'ART']
2  0.8  0.75  0.022222222222222223  0.420  0.080  0.240  ['CT']
2  0.8  0.75  0.025396825396825397  0.430  0.030  0.210  ['CT']
2  0.8  0.75  0.025925925925925925  0.520  0.160  0.440  ['CT', 'ART']
2  0.8  0.75  0.027777777777777776  0.440  0.100  0.340  ['CT', 'ART']
2  0.8  0.75  0.03333333333333333  0.455  0.195  0.275  ['CT']
2  0.8  0.75  0.03888888888888889  0.580  0.240  0.380  ['CT', 'ART']
