STRENGTH  PARA  CONS  RATE  CT  RT  ART  FAVOURABLE
4  1.0  0.50  0.0375  1.000  0.980  1.000  ['CT', 'RT', 'ART']
4  1.0  0.50  0.0625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  0.50  0.10625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  0.50  0.19375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  0.50  0.2  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  0.50  0.20625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  0.50  0.4  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  1.00  0.015625  0.680  0.200  0.520  ['CT', 'ART']
4  1.0  1.00  0.09375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  1.00  0.15625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  1.00  0.265625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  1.00  0.484375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  1.00  0.515625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
